county_code,county_name,average_wage_relative,doctors_per_1000_persons,beds_in_hospitals,cars_per_1000_persons,motorcycles_per_1000_persons,education_share_higher,education_share_secondary,education_share_vocational,education_share_primary,tourits_per_1000_persons
0201000,bolesławiecki,88.5,14.3,235,613.5,31.4,17.43,35.08,25.51,15.85,427.36
0202000,dzierżoniowski,84.9,10.0,166,619.9,35.4,16.96,36.14,23.12,16.94,323.39
0203000,głogowski,86.2,13.1,237,589.0,28.6,20.77,37.18,22.86,13.55,162.32
0204000,górowski,80.2,6.0,0,769.4,38.7,13.56,33.3,27.88,19.81,0
0205000,jaworski,89.3,8.0,75,743.2,34.3,16.92,34.26,26.87,16.2,291.12
0206000,karkonoski,82.0,10.3,718,667.7,25.9,19.67,34.94,23.94,14.69,8903.15
0207000,kamiennogórski,82.1,14.3,369,612.0,31.3,15.22,32.51,29.91,16.35,197.89
0208000,kłodzki,86.0,15.7,1048,720.2,46.1,17.07,37.24,23.53,16.38,1860.16
0209000,legnicki,88.3,1.5,0,684.1,32.5,18.27,35.14,23.82,17.23,326.65
0210000,lubański,81.6,13.0,247,720.8,47.7,16.41,37.11,26.09,14.52,2070.75
0211000,lubiński,161.5,27.9,705,656.5,24.3,22.61,35.79,22.28,13.68,213.86
0212000,lwówecki,83.7,9.5,331,759.2,30.1,15.36,34.73,28.08,15.65,258.75
0213000,milicki,78.6,19.3,298,761.4,68.7,15.13,34.35,28.64,16.36,77.39
0214000,oleśnicki,86.4,9.2,198,674.5,42.1,19.05,35.33,24.73,15.57,230.6
0215000,oławski,90.3,11.2,198,685.0,38.1,22.05,37.31,21.37,13.7,196.6
0216000,polkowicki,101.5,3.9,0,617.5,31.3,16.82,33.65,27.03,16.41,0
0217000,strzeliński,93.5,13.2,68,811.6,46.3,16.95,37.07,24.59,16.3,0
0218000,średzki,95.2,3.0,0,712.2,45.8,21.38,33.61,23.68,15.89,28.24
0219000,świdnicki,91.5,14.5,424,647.4,34.9,20.42,36.06,23.02,14.63,178.04
0220000,trzebnicki,83.5,12.0,369,700.7,55.6,21.78,33.25,24.88,14.61,128
0221000,wałbrzyski,79.4,8.0,41,1012.4,66.2,17.21,33.38,25.02,18.03,635.11
0222000,wołowski,107.0,11.9,77,712.6,62.9,19.07,36.95,23.98,14.95,0
0223000,wrocławski,106.2,5.4,40,604.9,37.9,35.7,31.56,15.39,12.03,259.5
0224000,ząbkowicki,82.5,5.9,127,757.8,49.4,16.07,38.26,24.32,15.7,287.31
0225000,zgorzelecki,88.4,20.5,533,679.7,29.2,16.67,35.85,24.34,16.47,593.94
0226000,złotoryjski,92.7,13.7,95,726.4,31.0,16.03,32,28.25,17.95,123.4
0261000,m. Jelenia Góra,93.8,36.4,560,666.9,30.2,25.4,37.63,19.39,11.24,634.22
0262000,m. Legnica,89.7,28.0,584,591.7,19.3,25.06,36.79,19.45,12.6,359.25
0264000,m. Wrocław,111.2,56.5,4747,707.4,30.4,42.1,33,11.81,8.31,881.09
0265000,m. Wałbrzych od 2013,100.8,28.3,804,375.4,12.0,19.59,34.92,23.34,15.67,354.59
0401000,aleksandrowski,74.9,16.6,131,634.9,41.5,17.11,33.88,27.44,16.9,1570.27
0402000,brodnicki,77.7,13.4,141,674.7,78.1,15.83,31.12,27.78,20.02,467.89
0403000,bydgoski,86.0,7.6,55,660.8,54.5,25.91,31.21,22.63,14.63,294.44
0404000,chełmiński,81.3,11.1,124,595.6,38.5,14.26,31.13,28.69,19.96,74.42
0405000,golubsko-dobrzyński,90.1,12.2,136,759.1,68.8,13.85,32.3,28.06,20.97,389.93
0406000,grudziądzki,84.7,5.1,35,763.3,52.3,13.75,30.14,28.36,22.19,115.11
0407000,inowrocławski,83.2,18.4,473,643.1,39.5,16.61,35.89,26.23,16.54,297.55
0408000,lipnowski,74.4,11.6,256,737.6,68.1,13.76,30.64,26.42,24.22,0
