municipality_code,municipality_name,county_code,percent_vaccinated,population_total,population_total_m,population_total_f,area_km2,population_density,urbanization_rate,healthcare_advices,population_per_pharmacy,installations_watersupply,installations_toilet,installations_bathroom,installations_central_heating,installations_network_gas,appartment_area_per_person,appartments_per_1000_persons,persons_per_appartment,persons_per_room,persons_per_library,library_books_per_1000_persons,library_readers_per_1000_persons,library_loans_per_reader,forests_area,unemployed_total,unemployed_f,unemployed_m,unemployed_up_to_25,unemployed_over_50,unemployed_long_term,unemployment_rate,unemployment_rate_m,unemployment_rate_f,bicycle_paths_per_100km2,bicycle_paths_per_10k_persons,revenues_per_capita,revenues_per_capita_PIT,revenues_per_capita_CIT,expenditures_per_capita,investment_expenditures_per_capita,children_3_5_in_kindergartens,net_scholarization,marriages_per_1000_persons,birthrate_per_1000_persons,net_migrations_per_1000_persons,persons_running_business,entities_registered_per_10k_persons,county_name,average_wage_relative,doctors_per_1000_persons,beds_in_hospitals,cars_per_1000_persons,motorcycles_per_1000_persons,education_share_higher,education_share_secondary,education_share_vocational,education_share_primary,tourits_per_1000_persons,percent_population_below_25,percent_population_25_60,percent_population_over_60
201011,Bolesławiec,201000,56.9,37659,17610,20049,24,1597.8,100.0,202393.0,2092,98.5,98.0,97.5,87.1,90.6,28.7,444.9,2.25,0.64,18830,2959,143,11.3,75.18,761,409,352,70,187,275,3.6,3.1,4.1,157.4,9.85,5312.66,1067.74,56.58,4962.55,142.34,1117.0,113.11,3.2,-6.04,-5.3,3099,1323,bolesławiecki,88.5,14.3,235,613.5,31.4,17.43,35.08,25.51,15.85,427.36,21.34947821237951,55.524575798613874,20.5634775219735
201022,Bolesławiec,201000,47.7,14967,7473,7494,289,51.9,0.0,13532.0,14967,97.8,97.2,95.3,83.2,28.8,36.3,305.9,3.27,0.64,2495,4849,119,12.2,230.52,286,149,137,52,72,105,3.1,2.8,3.5,3.95,7.62,5396.32,926.6,11.74,4859.22,895.71,581.0,68.29,3.2,-0.6,12.5,1431,1086,bolesławiecki,88.5,14.3,235,613.5,31.4,17.43,35.08,25.51,15.85,427.36,28.001603527761077,57.9608471971671,12.901717110977485
201032,Gromadka,201000,49.5,5156,2559,2597,268,19.3,0.0,11221.0,5156,96.1,93.6,91.8,79.1,0.2,30.9,345.8,2.89,0.64,5156,2921,37,12.6,204.0,119,73,46,17,27,47,3.8,2.7,5.2,0.0,0.0,8219.43,690.41,162.36,6318.14,1196.25,662.0,89.37,2.1,-3.48,-1.4,257,673,bolesławiecki,88.5,14.3,235,613.5,31.4,17.43,35.08,25.51,15.85,427.36,25.019394879751744,56.92397207137315,15.981380915438322
201043,Nowogrodziec,201000,47.5,14852,7414,7438,176,84.2,28.1,47211.0,3713,96.8,95.9,94.4,77.3,14.2,28.0,305.5,3.27,0.69,2970,2939,48,8.3,251.0,342,192,150,57,82,135,3.7,3.0,4.6,0.0,0.0,5067.58,644.43,30.53,4972.4,379.0,615.0,84.88,4.1,-0.67,0.5,1070,871,bolesławiecki,88.5,14.3,235,613.5,31.4,17.43,35.08,25.51,15.85,427.36,27.699973067600325,57.76999730676003,12.941018044707784
201052,Osiecznica,201000,52.2,7358,3703,3655,437,16.8,0.0,38508.0,7358,96.0,95.7,93.9,71.6,4.1,30.8,397.0,2.52,0.62,1226,6674,167,7.8,43.13,175,93,82,23,41,74,3.8,3.3,4.5,0.0,0.0,6377.16,786.19,27.93,4837.36,282.14,762.0,100.15,4.8,-2.15,1.7,539,896,bolesławiecki,88.5,14.3,235,613.5,31.4,17.43,35.08,25.51,15.85,427.36,28.146235390051643,57.59717314487632,12.666485458004892
201062,Warta Bolesławiecka,201000,53.0,8532,4207,4325,110,77.3,0.0,29577.0,8532,84.6,83.7,82.5,77.8,21.0,33.3,411.5,2.43,0.6,2133,5536,84,16.2,144.23,202,113,89,24,42,78,3.9,3.1,4.8,7.7,9.96,5173.3,697.88,1.5,5167.64,379.04,666.0,87.93,2.6,-4.08,0.9,503,726,bolesławiecki,88.5,14.3,235,613.5,31.4,17.43,35.08,25.51,15.85,427.36,26.734646038443504,57.88795124238162,13.853727144866385
202011,Bielawa,202000,51.2,28973,13514,15459,36,800.1,100.0,137119.0,2897,97.4,90.8,88.8,77.9,95.9,25.3,435.7,2.3,0.68,28973,2452,107,19.3,18.08,437,216,221,37,162,106,2.6,2.5,2.7,51.37,6.42,5355.0,779.72,22.15,5420.62,737.41,901.0,93.75,2.6,-9.67,-2.3,2021,1083,dzierżoniowski,84.9,10.0,166,619.9,35.4,16.96,36.14,23.12,16.94,323.39,20.477686121561455,56.6803575742933,19.763227832809857
202021,Dzierżoniów,202000,55.3,31997,14900,17097,20,1594.3,100.0,237163.0,2133,98.6,94.6,92.8,82.6,94.0,26.6,451.7,2.21,0.66,15999,2870,150,29.4,,687,358,329,56,218,255,3.8,3.4,4.3,118.09,7.41,4962.43,951.22,84.11,4629.13,572.31,970.0,100.6,2.8,-8.57,-0.3,2635,1351,dzierżoniowski,84.9,10.0,166,619.9,35.4,16.96,36.14,23.12,16.94,323.39,20.098759258680502,55.698971778604246,21.34262587117542
202033,Pieszyce,202000,45.7,9107,4387,4720,64,143.2,76.4,46567.0,2277,94.9,85.7,81.2,65.4,80.2,27.1,376.0,2.66,0.72,4554,4474,112,18.9,62.71,205,110,95,21,66,67,3.8,3.3,4.5,10.69,7.47,4428.37,775.31,23.74,4208.05,490.37,844.0,83.91,2.7,-4.9,-3.0,720,1228,dzierżoniowski,84.9,10.0,166,619.9,35.4,16.96,36.14,23.12,16.94,323.39,23.805863621390138,56.495003843197544,17.283408367190074
202041,Piława Górna,202000,46.7,6129,2939,3190,21,292.8,100.0,19356.0,3065,98.5,89.8,87.4,74.5,93.3,24.8,387.2,2.58,0.73,6129,3746,71,15.5,1.42,168,82,86,20,58,74,4.6,4.3,4.9,3.82,1.31,5379.73,570.37,110.9,4313.33,309.76,714.0,87.62,3.3,-8.95,0.3,404,1018,dzierżoniowski,84.9,10.0,166,619.9,35.4,16.96,36.14,23.12,16.94,323.39,23.902757382933597,57.83977810409529,15.597976831457009
