excluded_voivodeship,eval_rmse,test_rmse
dolnośląskie,0.15403239167409782,0.1532249005903819
kujawsko-pomorskie,0.1168981867689089,0.1507841539767975
lubelskie,0.13061219707043015,0.1553018699441064
lubuskie,0.12302307753907547,0.15088168547863076
łódzkie,0.13429840864135262,0.152209657931865
małopolskie,0.15263826713464998,0.15006870874053838
mazowieckie,0.14489167334084713,0.14964521434813546
opolskie,0.14584946398927318,0.14769247118683915
podkarpackie,0.14170724081182282,0.14839259702483323
podlaskie,0.15658157264195782,0.14838011512433036
pomorskie,0.13393237375490527,0.14979801438821444
śląskie,0.14241225892925016,0.1476653315694412
świętokrzyskie,0.12287064644845172,0.1486150641961599
warmińsko-mazurskie,0.12351171230821653,0.15363016741481897
zachodniopomorskie,0.1569519830762124,0.1458711187110805
