excluded_voivodeship,eval_rmse,test_rmse
dolnośląskie,0.15368582431113118,0.16091455635738494
kujawsko-pomorskie,0.12499468070142139,0.16928705733562563
lubelskie,0.15194527499217023,0.1682573673280179
lubuskie,0.11054917597779863,0.1795394658412307
łódzkie,0.13167515584802042,0.16945548510728609
małopolskie,0.15560108170514955,0.16112601574872482
mazowieckie,0.15396976816352795,0.17461428822211927
opolskie,0.14857572284516407,0.17967165887597547
podkarpackie,0.15993237167779548,0.15888560821321387
podlaskie,0.21719500261181318,0.1816285615721478
pomorskie,0.14210231533798887,0.15378330382653518
śląskie,0.13712322687428502,0.15509114663562087
świętokrzyskie,0.12833720332593299,0.16655912761779817
warmińsko-mazurskie,0.12969552966306816,0.174182211116309
zachodniopomorskie,0.16852732562959474,0.1553745317944242
