"municipality_code","municipality_name","splag_percent_vaccinated","partition"
"201011","Bolesławiec",47.7,"prussian"
"201022","Bolesławiec",53.3,"prussian"
"201032","Gromadka",50.0833333333333,"prussian"
"201043","Nowogrodziec",50.55,"prussian"
"201052","Osiecznica",52.5142857142857,"prussian"
"201062","Warta Bolesławiecka",52.5,"prussian"
"202011","Bielawa",48.58,"prussian"
"202021","Dzierżoniów",47.5333333333333,"prussian"
"202033","Pieszyce",51.0166666666667,"prussian"
"202041","Piława Górna",48.5,"prussian"
"202052","Dzierżoniów",50.1666666666667,"prussian"
"202062","Łagiewniki",52.2166666666667,"prussian"
"202073","Niemcza",50.5,"prussian"
"203011","Głogów",53.65,"prussian"
"203022","Głogów",53.8142857142857,"prussian"
"203032","Jerzmanowa",54.5333333333333,"prussian"
"203042","Kotla",55.1166666666667,"prussian"
"203052","Pęcław",49.36,"prussian"
"203062","Żukowice",53.7,"prussian"
"204013","Góra",52.8428571428571,"prussian"
"204022","Jemielno",50.48,"prussian"
"204032","Niechlów",49.9666666666667,"prussian"
"204043","Wąsosz",54.2666666666667,"prussian"
"205011","Jawor",51.8,"prussian"
"205023","Bolków",51.7875,"prussian"
"205032","Męcinka",53.4125,"prussian"
"205042","Mściwojów",53.775,"prussian"
"205052","Paszowice",51.8,"prussian"
"205062","Wądroże Wielkie",54.6333333333333,"prussian"
"206011","Karpacz",52.65,"prussian"
"206021","Kowary",57.2,"prussian"
"206031","Piechowice",56.15,"prussian"
"206041","Szklarska Poręba",54.9,"prussian"
"206052","Janowice Wielkie",53.6875,"prussian"
"206062","Jeżów Sudecki",52.65,"prussian"
"206072","Mysłakowice",54.26,"prussian"
"206082","Podgórzyn",56.92,"prussian"
"206092","Stara Kamienica",53.9,"prussian"
"207011","Kamienna Góra",56.8,"prussian"
"207022","Kamienna Góra",54.725,"prussian"
"207033","Lubawka",55.7,"prussian"
"207042","Marciszów",53.54,"prussian"
"208011","Duszniki-Zdrój",51.2,"prussian"
"208021","Kłodzko",51.3,"prussian"
"208031","Kudowa-Zdrój",49.8,"prussian"
"208041","Nowa Ruda",49.05,"prussian"
"208051","Polanica-Zdrój",50.6,"prussian"
"208063","Bystrzyca Kłodzka",52.3166666666667,"prussian"
"208072","Kłodzko",51.74,"prussian"
"208083","Lądek-Zdrój",50.275,"prussian"
"208092","Lewin Kłodzki",53.2333333333333,"prussian"
"208103","Międzylesie",50.9,"prussian"
