WOJ;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA
02;;;;DOLNOŚLĄSKIE;województwo;2024-01-01
04;;;;KUJAWSKO-POMORSKIE;województwo;2024-01-01
06;;;;LUBELSKIE;województwo;2024-01-01
08;;;;LUBUSKIE;województwo;2024-01-01
10;;;;ŁÓDZKIE;województwo;2024-01-01
12;;;;MAŁOPOLSKIE;województwo;2024-01-01
14;;;;MAZOWIECKIE;województwo;2024-01-01
16;;;;OPOLSKIE;województwo;2024-01-01
18;;;;PODKARPACKIE;województwo;2024-01-01
20;;;;PODLASKIE;województwo;2024-01-01
22;;;;POMORSKIE;województwo;2024-01-01
24;;;;ŚLĄSKIE;województwo;2024-01-01
26;;;;ŚWIĘTOKRZYSKIE;województwo;2024-01-01
28;;;;WARMIŃSKO-MAZURSKIE;województwo;2024-01-01
30;;;;WIELKOPOLSKIE;województwo;2024-01-01
32;;;;ZACHODNIOPOMORSKIE;województwo;2024-01-01
