WOJ;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA
04;01;;;aleksandrowski;powiat;2024-01-01
20;01;;;augustowski;powiat;2024-01-01
28;01;;;bartoszycki;powiat;2024-01-01
10;01;;;bełchatowski;powiat;2024-01-01
24;01;;;będziński;powiat;2024-01-01
06;01;;;bialski;powiat;2024-01-01
06;61;;;Biała Podlaska;miasto na prawach powiatu;2024-01-01
14;01;;;białobrzeski;powiat;2024-01-01
32;01;;;białogardzki;powiat;2024-01-01
20;02;;;białostocki;powiat;2024-01-01
20;61;;;Białystok;miasto na prawach powiatu;2024-01-01
20;03;;;bielski;powiat;2024-01-01
24;02;;;bielski;powiat;2024-01-01
24;61;;;Bielsko-Biała;miasto na prawach powiatu;2024-01-01
24;14;;;bieruńsko-lędziński;powiat;2024-01-01
18;01;;;bieszczadzki;powiat;2024-01-01
06;02;;;biłgorajski;powiat;2024-01-01
12;01;;;bocheński;powiat;2024-01-01
02;01;;;bolesławiecki;powiat;2024-01-01
28;02;;;braniewski;powiat;2024-01-01
04;02;;;brodnicki;powiat;2024-01-01
12;02;;;brzeski;powiat;2024-01-01
16;01;;;brzeski;powiat;2024-01-01
10;21;;;brzeziński;powiat;2024-01-01
18;02;;;brzozowski;powiat;2024-01-01
26;01;;;buski;powiat;2024-01-01
04;03;;;bydgoski;powiat;2024-01-01
04;61;;;Bydgoszcz;miasto na prawach powiatu;2024-01-01
24;62;;;Bytom;miasto na prawach powiatu;2024-01-01
22;01;;;bytowski;powiat;2024-01-01
06;62;;;Chełm;miasto na prawach powiatu;2024-01-01
04;04;;;chełmiński;powiat;2024-01-01
06;03;;;chełmski;powiat;2024-01-01
30;01;;;chodzieski;powiat;2024-01-01
22;02;;;chojnicki;powiat;2024-01-01
24;63;;;Chorzów;miasto na prawach powiatu;2024-01-01
32;02;;;choszczeński;powiat;2024-01-01
12;03;;;chrzanowski;powiat;2024-01-01
14;02;;;ciechanowski;powiat;2024-01-01
24;03;;;cieszyński;powiat;2024-01-01
30;02;;;czarnkowsko-trzcianecki;powiat;2024-01-01
24;64;;;Częstochowa;miasto na prawach powiatu;2024-01-01
24;04;;;częstochowski;powiat;2024-01-01
22;03;;;człuchowski;powiat;2024-01-01
24;65;;;Dąbrowa Górnicza;miasto na prawach powiatu;2024-01-01
12;04;;;dąbrowski;powiat;2024-01-01
18;03;;;dębicki;powiat;2024-01-01
32;03;;;drawski;powiat;2024-01-01
28;03;;;działdowski;powiat;2024-01-01
02;02;;;dzierżoniowski;powiat;2024-01-01
28;61;;;Elbląg;miasto na prawach powiatu;2024-01-01
28;04;;;elbląski;powiat;2024-01-01
28;05;;;ełcki;powiat;2024-01-01
14;03;;;garwoliński;powiat;2024-01-01
22;61;;;Gdańsk;miasto na prawach powiatu;2024-01-01
22;04;;;gdański;powiat;2024-01-01
22;62;;;Gdynia;miasto na prawach powiatu;2024-01-01
28;06;;;giżycki;powiat;2024-01-01
24;66;;;Gliwice;miasto na prawach powiatu;2024-01-01
24;05;;;gliwicki;powiat;2024-01-01
02;03;;;głogowski;powiat;2024-01-01
16;02;;;głubczycki;powiat;2024-01-01
30;03;;;gnieźnieński;powiat;2024-01-01
32;04;;;goleniowski;powiat;2024-01-01
04;05;;;golubsko-dobrzyński;powiat;2024-01-01
28;18;;;gołdapski;powiat;2024-01-01
12;05;;;gorlicki;powiat;2024-01-01
08;01;;;gorzowski;powiat;2024-01-01
08;61;;;Gorzów Wielkopolski;miasto na prawach powiatu;2024-01-01
14;04;;;gostyniński;powiat;2024-01-01
30;04;;;gostyński;powiat;2024-01-01
02;04;;;górowski;powiat;2024-01-01
20;04;;;grajewski;powiat;2024-01-01
14;05;;;grodziski;powiat;2024-01-01
30;05;;;grodziski;powiat;2024-01-01
14;06;;;grójecki;powiat;2024-01-01
04;62;;;Grudziądz;miasto na prawach powiatu;2024-01-01
04;06;;;grudziądzki;powiat;2024-01-01
32;05;;;gryficki;powiat;2024-01-01
32;06;;;gryfiński;powiat;2024-01-01
20;05;;;hajnowski;powiat;2024-01-01
06;04;;;hrubieszowski;powiat;2024-01-01
28;07;;;iławski;powiat;2024-01-01
04;07;;;inowrocławski;powiat;2024-01-01
06;05;;;janowski;powiat;2024-01-01
30;06;;;jarociński;powiat;2024-01-01
18;04;;;jarosławski;powiat;2024-01-01
18;05;;;jasielski;powiat;2024-01-01
24;67;;;Jastrzębie-Zdrój;miasto na prawach powiatu;2024-01-01
02;05;;;jaworski;powiat;2024-01-01
24;68;;;Jaworzno;miasto na prawach powiatu;2024-01-01
02;61;;;Jelenia Góra;miasto na prawach powiatu;2024-01-01
26;02;;;jędrzejowski;powiat;2024-01-01
30;07;;;kaliski;powiat;2024-01-01
30;61;;;Kalisz;miasto na prawach powiatu;2024-01-01
02;07;;;kamiennogórski;powiat;2024-01-01
32;07;;;kamieński;powiat;2024-01-01
02;06;;;karkonoski;powiat;2024-01-01
22;05;;;kartuski;powiat;2024-01-01
24;69;;;Katowice;miasto na prawach powiatu;2024-01-01
26;03;;;kazimierski;powiat;2024-01-01
16;03;;;kędzierzyńsko-kozielski;powiat;2024-01-01
30;08;;;kępiński;powiat;2024-01-01
28;08;;;kętrzyński;powiat;2024-01-01
26;61;;;Kielce;miasto na prawach powiatu;2024-01-01
26;04;;;kielecki;powiat;2024-01-01
16;04;;;kluczborski;powiat;2024-01-01
24;06;;;kłobucki;powiat;2024-01-01
02;08;;;kłodzki;powiat;2024-01-01
18;06;;;kolbuszowski;powiat;2024-01-01
20;06;;;kolneński;powiat;2024-01-01
30;09;;;kolski;powiat;2024-01-01
32;08;;;kołobrzeski;powiat;2024-01-01
26;05;;;konecki;powiat;2024-01-01
30;62;;;Konin;miasto na prawach powiatu;2024-01-01
30;10;;;koniński;powiat;2024-01-01
32;61;;;Koszalin;miasto na prawach powiatu;2024-01-01
32;09;;;koszaliński;powiat;2024-01-01
30;11;;;kościański;powiat;2024-01-01
22;06;;;kościerski;powiat;2024-01-01
14;07;;;kozienicki;powiat;2024-01-01
12;06;;;krakowski;powiat;2024-01-01
12;61;;;Kraków;miasto na prawach powiatu;2024-01-01
16;05;;;krapkowicki;powiat;2024-01-01
06;06;;;krasnostawski;powiat;2024-01-01
06;07;;;kraśnicki;powiat;2024-01-01
18;61;;;Krosno;miasto na prawach powiatu;2024-01-01
08;02;;;krośnieński;powiat;2024-01-01
18;07;;;krośnieński;powiat;2024-01-01
30;12;;;krotoszyński;powiat;2024-01-01
10;02;;;kutnowski;powiat;2024-01-01
22;07;;;kwidzyński;powiat;2024-01-01
14;08;;;legionowski;powiat;2024-01-01
02;62;;;Legnica;miasto na prawach powiatu;2024-01-01
02;09;;;legnicki;powiat;2024-01-01
18;21;;;leski;powiat;2024-01-01
30;13;;;leszczyński;powiat;2024-01-01
30;63;;;Leszno;miasto na prawach powiatu;2024-01-01
18;08;;;leżajski;powiat;2024-01-01
22;08;;;lęborski;powiat;2024-01-01
28;09;;;lidzbarski;powiat;2024-01-01
12;07;;;limanowski;powiat;2024-01-01
04;08;;;lipnowski;powiat;2024-01-01
14;09;;;lipski;powiat;2024-01-01
18;09;;;lubaczowski;powiat;2024-01-01
02;10;;;lubański;powiat;2024-01-01
06;08;;;lubartowski;powiat;2024-01-01
06;09;;;lubelski;powiat;2024-01-01
02;11;;;lubiński;powiat;2024-01-01
06;63;;;Lublin;miasto na prawach powiatu;2024-01-01
24;07;;;lubliniecki;powiat;2024-01-01
02;12;;;lwówecki;powiat;2024-01-01
18;10;;;łańcucki;powiat;2024-01-01
10;03;;;łaski;powiat;2024-01-01
10;04;;;łęczycki;powiat;2024-01-01
06;10;;;łęczyński;powiat;2024-01-01
32;18;;;łobeski;powiat;2024-01-01
20;62;;;Łomża;miasto na prawach powiatu;2024-01-01
20;07;;;łomżyński;powiat;2024-01-01
14;10;;;łosicki;powiat;2024-01-01
10;05;;;łowicki;powiat;2024-01-01
10;06;;;łódzki wschodni;powiat;2024-01-01
10;61;;;Łódź;miasto na prawach powiatu;2024-01-01
06;11;;;łukowski;powiat;2024-01-01
14;11;;;makowski;powiat;2024-01-01
22;09;;;malborski;powiat;2024-01-01
12;08;;;miechowski;powiat;2024-01-01
18;11;;;mielecki;powiat;2024-01-01
30;14;;;międzychodzki;powiat;2024-01-01
08;03;;;międzyrzecki;powiat;2024-01-01
24;08;;;mikołowski;powiat;2024-01-01
02;13;;;milicki;powiat;2024-01-01
14;12;;;miński;powiat;2024-01-01
14;13;;;mławski;powiat;2024-01-01
04;09;;;mogileński;powiat;2024-01-01
20;08;;;moniecki;powiat;2024-01-01
