municipality_code,municipality_name,county_code,percent_vaccinated,population_total,population_total_m,population_total_f,area_km2,population_density,urbanization_rate,healthcare_advices,population_per_pharmacy,installations_network_gas,appartments_per_1000_persons,persons_per_library,library_readers_per_1000_persons,forests_area,unemployment_rate,unemployment_rate_m,unemployment_rate_f,revenues_per_capita,revenues_per_capita_PIT,revenues_per_capita_CIT,net_scholarization,county_name,average_wage_relative,doctors_per_1000_persons,education_share_higher,education_share_secondary,education_share_vocational,education_share_primary,tourits_per_1000_persons,percent_population_below_25,percent_population_25_60,percent_population_over_60,municipality_code_old,election_presence,percent_invalid_votes,voivodeship,PIS_party,KO_party,KONFEDERACJA_party,PSL_party,SLD_party
20101,Bolesławiec,201000,56.9,37659,17610,20049,24,1597.8,100.0,202393.0,2092,90.6,444.9,18830,143,75.18,3.6,3.1,4.1,5312.66,1067.74,56.58,113.11,bolesławiecki,88.5,14.3,17.43,35.08,25.51,15.85,427.36,21.34947821237951,55.524575798613874,20.5634775219735,201011,"60,88","1,15",dolnośląskie,"35,83","23,95","6,16","5,40","22,22"
20102,Bolesławiec,201000,47.7,14967,7473,7494,289,51.9,0.0,13532.0,14967,28.8,305.9,2495,119,230.52,3.1,2.8,3.5,5396.32,926.6,11.74,68.29,bolesławiecki,88.5,14.3,17.43,35.08,25.51,15.85,427.36,28.001603527761077,57.9608471971671,12.901717110977485,201022,"56,54","1,47",dolnośląskie,"43,64","19,24","7,58","9,27","14,94"
20103,Gromadka,201000,49.5,5156,2559,2597,268,19.3,0.0,11221.0,5156,0.2,345.8,5156,37,204.0,3.8,2.7,5.2,8219.43,690.41,162.36,89.37,bolesławiecki,88.5,14.3,17.43,35.08,25.51,15.85,427.36,25.019394879751744,56.92397207137315,15.981380915438322,201032,"52,83","2,42",dolnośląskie,"50,81","12,93","5,27","6,94","19,28"
20104,Nowogrodziec,201000,47.5,14852,7414,7438,176,84.2,28.1,47211.0,3713,14.2,305.5,2970,48,251.0,3.7,3.0,4.6,5067.58,644.43,30.53,84.88,bolesławiecki,88.5,14.3,17.43,35.08,25.51,15.85,427.36,27.699973067600325,57.76999730676003,12.941018044707784,201043,"48,79","1,91",dolnośląskie,"53,30","15,70","7,73","9,60","9,75"
20105,Osiecznica,201000,52.2,7358,3703,3655,437,16.8,0.0,38508.0,7358,4.1,397.0,1226,167,43.13,3.8,3.3,4.5,6377.16,786.19,27.93,100.15,bolesławiecki,88.5,14.3,17.43,35.08,25.51,15.85,427.36,28.146235390051643,57.59717314487632,12.666485458004892,201052,"49,94","2,49",dolnośląskie,"45,70","19,38","6,97","8,23","15,61"
20106,Warta Bolesławiecka,201000,53.0,8532,4207,4325,110,77.3,0.0,29577.0,8532,21.0,411.5,2133,84,144.23,3.9,3.1,4.8,5173.3,697.88,1.5,87.93,bolesławiecki,88.5,14.3,17.43,35.08,25.51,15.85,427.36,26.734646038443504,57.88795124238162,13.853727144866385,201062,"51,50","1,64",dolnośląskie,"49,48","18,52","7,27","8,46","12,05"
20201,Bielawa,202000,51.2,28973,13514,15459,36,800.1,100.0,137119.0,2897,95.9,435.7,28973,107,18.08,2.6,2.5,2.7,5355.0,779.72,22.15,93.75,dzierżoniowski,84.9,10.0,16.96,36.14,23.12,16.94,323.39,20.477686121561455,56.6803575742933,19.763227832809857,202011,"54,07","1,44",dolnośląskie,"41,27","27,24","5,68","7,06","14,55"
20202,Dzierżoniów,202000,55.3,31997,14900,17097,20,1594.3,100.0,237163.0,2133,94.0,451.7,15999,150,,3.8,3.4,4.3,4962.43,951.22,84.11,100.6,dzierżoniowski,84.9,10.0,16.96,36.14,23.12,16.94,323.39,20.098759258680502,55.698971778604246,21.34262587117542,202021,"59,56","1,01",dolnośląskie,"38,51","30,23","5,29","13,32","10,87"
20203,Pieszyce,202000,45.7,9107,4387,4720,64,143.2,76.4,46567.0,2277,80.2,376.0,4554,112,62.71,3.8,3.3,4.5,4428.37,775.31,23.74,83.91,dzierżoniowski,84.9,10.0,16.96,36.14,23.12,16.94,323.39,23.805863621390138,56.495003843197544,17.283408367190074,202033,"51,78","1,86",dolnośląskie,"46,42","28,81","5,91","7,99","8,36"
20204,Piława Górna,202000,46.7,6129,2939,3190,21,292.8,100.0,19356.0,3065,93.3,387.2,6129,71,1.42,4.6,4.3,4.9,5379.73,570.37,110.9,87.62,dzierżoniowski,84.9,10.0,16.96,36.14,23.12,16.94,323.39,23.902757382933597,57.83977810409529,15.597976831457009,202041,"50,96","1,27",dolnośląskie,"50,06","19,50","6,89","11,61","9,61"
20205,Dzierżoniów,202000,45.7,9243,4588,4655,141,65.5,0.0,,9243,26.9,354.0,924,138,99.76,3.6,3.8,3.4,5137.55,723.36,3.39,66.53,dzierżoniowski,84.9,10.0,16.96,36.14,23.12,16.94,323.39,24.797143784485556,57.3623282484042,15.665909336795414,202052,"55,66","1,63",dolnośląskie,"51,30","20,05","5,72","12,89","8,33"
20206,Łagiewniki,202000,52.6,7287,3586,3701,125,58.4,0.0,37543.0,3644,0.3,326.5,1822,100,38.34,2.8,2.4,3.4,6016.02,746.06,17.09,84.6,dzierżoniowski,84.9,10.0,16.96,36.14,23.12,16.94,323.39,25.470015095375327,56.895841910251136,15.658021133525457,202062,"54,25","1,42",dolnośląskie,"56,19","19,43","6,05","9,31","7,49"
20207,Niemcza,202000,47.8,5249,2587,2662,72,73.0,53.7,28099.0,5249,56.4,390.7,1312,121,59.65,4.1,4.1,4.1,5978.88,613.84,8.16,84.57,dzierżoniowski,84.9,10.0,16.96,36.14,23.12,16.94,323.39,22.25185749666603,57.17279481806058,18.36540293389217,202073,"50,48","1,96",dolnośląskie,"48,19","22,41","5,26","11,62","10,93"
20301,Głogów,203000,60.7,64450,30895,33555,35,1835.7,100.0,304509.0,2930,88.9,414.9,16113,117,29.2,4.3,2.9,5.9,5982.58,1269.49,115.4,103.59,głogowski,86.2,13.1,20.77,37.18,22.86,13.55,162.32,23.33591931730023,54.844065166795964,20.380139643134214,203011,"61,10","0,81",dolnośląskie,"42,60","27,63","5,16","4,32","17,68"
20302,Głogów,203000,51.4,6933,3461,3472,85,81.8,0.0,,6933,28.2,329.6,3467,13,128.0,4.3,2.7,6.2,5965.92,1338.95,17.73,61.83,głogowski,86.2,13.1,20.77,37.18,22.86,13.55,162.32,29.309101399105725,57.11813067935958,12.433290062022213,203022,"62,40","1,84",dolnośląskie,"48,32","23,22","5,80","7,20","13,47"
20303,Jerzmanowa,203000,53.6,5439,2721,2718,63,85.9,0.0,11186.0,5439,37.7,321.2,2720,72,77.0,3.6,2.0,5.3,11650.8,1559.96,3.54,77.95,głogowski,86.2,13.1,20.77,37.18,22.86,13.55,162.32,33.35171906600478,55.54329840044125,10.093767236624378,203032,"64,78","1,80",dolnośląskie,"43,08","23,54","6,45","6,77","17,75"
20304,Kotla,203000,52.1,4401,2210,2191,128,34.5,0.0,11451.0,4401,0.5,317.0,1467,95,328.22,6.1,4.5,8.0,6699.16,848.81,28.16,77.7,głogowski,86.2,13.1,20.77,37.18,22.86,13.55,162.32,29.629629629629626,55.623721881390594,12.997046125880482,203042,"50,53","1,98",dolnośląskie,"54,72","21,09","4,58","5,53","11,47"
20305,Pęcław,203000,52.0,2136,1095,1041,64,33.2,0.0,6898.0,0,0.1,348.8,712,54,29.18,6.9,4.7,9.8,5927.75,682.06,3.17,66.51,głogowski,86.2,13.1,20.77,37.18,22.86,13.55,162.32,28.83895131086142,55.57116104868914,13.623595505617978,203052,"50,12","2,53",dolnośląskie,"62,06","12,06","4,61","15,48","4,96"
20306,Żukowice,203000,57.5,3438,1747,1691,68,50.4,0.0,11653.0,3438,33.1,309.2,860,151,121.9,5.4,3.9,7.4,8123.53,698.84,3.01,87.3,głogowski,86.2,13.1,20.77,37.18,22.86,13.55,162.32,28.15590459569517,56.68993600930774,13.525305410122165,203062,"52,37","2,49",dolnośląskie,"51,42","19,21","6,28","7,23","13,51"
20401,Góra,204000,53.1,19005,9370,9635,266,71.4,59.0,75457.0,3801,65.4,368.0,4751,133,299.3,8.4,7.2,9.9,5732.77,676.56,53.44,92.41,górowski,80.2,6.0,13.56,33.3,27.88,19.81,0.0,25.656406208892395,55.327545382794,17.195474875032886,204013,"51,54","1,25",dolnośląskie,"44,18","26,72","5,74","7,30","11,84"
